Date;Catégorie d'appareil;Continent;Pays;Utilisateurs;Sessions;Pages vues;Chiffre d'affaires;Transactions;Taux de rebond
20190101;desktop;Oceania;New Zealand;38 453;72 553;82 447;8 498;782;81%
20190101;desktop;Europe;Belgium;52 180;64 420;89 472;28 476;972;82%
20190101;desktop;Europe;Poland;20 716;37 665;41 390;47 584;787;15%
20190101;desktop;Europe;Russia;6 371;10 618;11 177;11 176;858;71%
20190101;mobile;Europe;Belgium;34 345;45 794;71 553;17 030;834;45%
20190101;mobile;Europe;Poland;7 077;12 202;13 710;18 613;184;73%
20190101;tablet;Asia;Japan;15 254;27 735;44 734;39 637;602;26%
20190101;desktop;Europe;Finland;17 949;34 517;37 519;41 672;314;46%
20190101;desktop;Europe;Portugal;30 776;49 638;56 407;38 062;824;46%
20190101;mobile;Oceania;New Zealand;35 248;60 773;67 525;35 394;111;46%
20190101;mobile;Europe;Switzerland;51 417;65 085;73 960;37 580;810;25%
20190101;mobile;Europe;Russia;21 531;32 136;46 574;31 735;127;30%
20190101;mobile;Europe;Sweden;15 377;21 967;31 381;12 922;786;72%
20190101;tablet;Oceania;Australia;22 406;40 011;44 956;43 847;396;74%
20190101;tablet;Asia;India;47 646;61 878;99 803;9 329;551;15%
20190101;tablet;Europe;Switzerland;40 499;46 551;54 766;10 559;891;69%
20190101;tablet;Europe;Germany;53 683;70 635;92 941;17 091;20;24%
20190101;tablet;Europe;Spain;48 979;59 730;71 107;11 312;857;19%
20190101;tablet;Europe;France;64 022;70 354;77 312;36 177;843;65%
20190101;tablet;Europe;United Kingdom;55 487;73 983;91 337;22 380;413;26%
20190101;tablet;Europe;Italy;43 141;69 582;95 318;3 834;78;10%
20190101;mobile;Asia;India;42 249;84 498;91 846;21 875;424;29%
20190101;desktop;Asia;India;44 571;57 143;95 238;17 007;909;56%
20190101;desktop;Asia;Japan;1 735;2 798;4 305;18 987;504;34%
20190101;desktop;Europe;United Kingdom;25 211;33 172;36 453;38 950;739;15%
20190101;desktop;Europe;France;2 755;3 773;6 289;6 526;232;32%
20190101;mobile;Europe;Germany;25 829;43 778;56 854;26 949;329;33%
20190101;desktop;Oceania;Australia;11 407;18 700;28 333;26 126;915;25%
20190101;desktop;Asia;South Korea;5 949;7 933;8 439;1 320;128;46%
20190101;mobile;Europe;United Kingdom;1 707;1 940;2 064;4 879;28;41%
20190101;desktop;Asia;China;24 747;32 996;41 767;18 575;710;30%
20190101;desktop;Europe;Germany;36 174;50 242;55 824;45 941;388;14%
20190101;mobile;Asia;Japan;4 286;4 870;6 408;49 977;335;48%
20190101;desktop;Europe;Spain;1 695;3 139;4 076;27 287;190;27%
20190101;mobile;Asia;Indonesia;12 587;19 667;26 222;16 112;43;19%
20190101;desktop;Asia;Indonesia;43 028;48 895;63 500;1 887;281;19%
20190101;mobile;Europe;Italy;38 650;47 716;54 223;355;248;54%
20190101;desktop;Europe;Italy;20 161;21 914;25 781;15 605;165;60%
20190101;mobile;Oceania;Australia;35 856;56 915;90 341;16 336;754;73%
20190101;mobile;Asia;South Korea;30 886;34 704;44 492;17 147;999;34%
20190101;mobile;Europe;Spain;18 046;31 660;43 370;10 940;361;42%
20190101;mobile;Europe;France;10 187;19 222;26 331;26 780;519;76%
20190101;desktop;Americas;United States;504;950;1 377;35 215;812;79%
20190101;mobile;Americas;United States;6 039;10 595;15 136;42 192;547;53%
20190101;tablet;Americas;United States;15 702;16 705;22 574;21 461;125;71%
20190101;desktop;Americas;Canada;12 560;14 777;19 702;35 558;515;14%
20190101;mobile;Americas;Canada;40 924;77 216;88 754;25 375;174;44%
20190101;desktop;Americas;Brazil;15 994;29 619;34 045;11 403;25;28%
20190101;mobile;Africa;South Africa;20 394;23 714;29 642;26 493;232;57%
20190101;desktop;Americas;Mexico;32 128;36 099;41 022;38 417;366;35%
20190101;desktop;Africa;Algeria;58 409;62 805;95 159;27 617;648;72%
20190101;desktop;Africa;Egypt;19 717;22 154;27 693;35 278;262;44%
20190101;desktop;Africa;South Africa;62 858;69 074;97 288;25 046;307;73%
20190101;desktop;Americas;Argentina;54 096;78 400;90 115;17 775;866;55%
20190101;mobile;Africa;Algeria;18 478;26 397;43 995;42 446;558;63%
20190101;mobile;Africa;Morocco;30 078;50 979;84 965;24 734;585;60%
20190101;mobile;Africa;Nigeria;32 757;50 396;60 718;31 273;182;81%
20190101;mobile;Americas;Argentina;37 772;53 959;75 999;26 312;913;11%
20190101;mobile;Americas;Brazil;7 414;13 240;14 876;9 074;295;85%
20190101;mobile;Americas;Colombia;50 161;58 327;84 532;6 789;443;51%
20190101;mobile;Americas;Mexico;78 385;87 094;91 678;449;81;41%
20190101;tablet;Americas;Canada;19 719;23 199;24 945;8 466;996;38%
20190102;desktop;Europe;Belgium;51 487;55 362;70 079;47 102;364;17%
20190102;desktop;Europe;Switzerland;19 248;20 922;22 741;25 197;583;61%
20190102;mobile;Europe;Portugal;6 504;9 033;13 091;16 176;672;43%
20190102;desktop;Oceania;New Zealand;18 573;26 160;28 747;35 805;387;83%
20190102;desktop;Europe;Finland;33 018;48 556;58 501;44 085;818;62%
20190102;desktop;Europe;Portugal;53 189;71 877;79 863;32 361;602;31%
20190102;mobile;Europe;Russia;19 535;36 859;56 706;27 281;157;69%
20190102;tablet;Europe;Germany;31 102;57 596;68 567;4 030;672;48%
20190102;tablet;Europe;Italy;65 804;70 004;75 273;48 777;265;72%
20190102;desktop;Asia;India;35 154;52 468;69 037;17 815;289;33%
20190102;mobile;Asia;India;5 270;8 783;14 166;24 681;833;80%
20190102;desktop;Europe;United Kingdom;35 081;43 852;68 518;13 220;350;34%
20190102;desktop;Europe;France;22 917;25 183;30 341;15 610;828;77%
20190102;mobile;Europe;United Kingdom;21 592;33 219;43 709;16 007;87;44%
20190102;desktop;Oceania;Australia;39 768;75 033;84 307;6 434;59;43%
20190102;desktop;Europe;Germany;19 557;36 216;38 122;23 519;22;47%
20190102;desktop;Asia;Japan;1 598;1 998;3 171;23 235;763;78%
20190102;desktop;Europe;Spain;19 191;35 538;46 761;32 958;486;39%
20190102;mobile;Asia;Indonesia;33 463;63 137;70 152;32 027;291;62%
20190102;mobile;Europe;France;36 343;47 819;50 336;35 953;532;68%
20190102;mobile;Europe;Germany;8 781;10 093;16 021;44 914;810;81%
20190102;desktop;Asia;China;19 148;34 194;55 151;43 610;543;36%
20190102;desktop;Asia;South Korea;77 213;81 277;94 508;15 459;846;85%
20190102;desktop;Europe;Italy;25 002;45 458;69 936;19 327;754;25%
20190102;mobile;Asia;Japan;44 795;60 534;96 085;826;388;36%
20190102;desktop;Europe;Poland;36 053;45 637;69 147;7 018;162;37%
20190102;mobile;Europe;Spain;65 888;73 209;87 153;10 007;229;32%
20190102;desktop;Asia;Indonesia;54 541;66 513;80 136;48 390;150;76%
20190102;mobile;Oceania;Australia;45 807;52 053;55 376;39 281;173;73%
20190102;mobile;Europe;Belgium;36 857;44 406;71 622;14 507;887;24%
20190102;desktop;Europe;Russia;5 927;10 219;16 220;34 922;110;49%
20190102;desktop;Europe;Sweden;3 010;5 902;8 554;5 810;21;52%
20190102;mobile;Asia;South Korea;64 918;80 145;93 192;32 945;672;68%
20190102;mobile;Europe;Sweden;28 145;37 033;54 461;30 108;400;79%
20190102;tablet;Asia;India;15 662;22 698;31 969;30 545;919;75%
20190102;tablet;Asia;Japan;44 155;68 993;80 224;32 067;929;64%
20190102;tablet;Europe;United Kingdom;22 058;25 066;34 337;35 067;146;17%
20190102;desktop;Americas;United States;1 662;2 817;3 314;48 485;368;40%
20190102;mobile;Americas;United States;28 222;31 357;40 724;2 270;933;24%
20190102;desktop;Americas;Canada;9 734;12 808;17 789;6 339;64;46%
20190102;tablet;Americas;United States;11 840;13 768;20 549;32 379;404;71%
20190102;mobile;Americas;Canada;43 178;47 975;76 151;12 060;607;84%
20190102;desktop;Americas;Brazil;5 984;8 549;11 873;33 611;467;50%
20190102;desktop;Americas;Argentina;8 239;16 156;21 541;21 703;84;23%
20190102;desktop;Americas;Colombia;31 196;38 995;64 991;23 033;598;80%
20190102;desktop;Americas;Mexico;36 256;38 570;40 600;28 615;439;45%
20190102;mobile;Africa;Morocco;16 351;28 685;35 414;24 426;832;59%
20190102;tablet;Americas;Canada;8 008;13 127;15 816;49 003;514;28%
20190102;desktop;Africa;Kenya;62 134;81 756;97 328;14 673;281;82%
20190102;desktop;Africa;Morocco;24 445;34 921;38 801;25 604;700;39%
20190102;desktop;Africa;Nigeria;18 343;35 968;39 964;18 280;404;80%
20190102;mobile;Africa;Egypt;29 645;59 290;62 411;3 811;893;27%
20190102;mobile;Africa;Nigeria;27 129;38 210;43 420;47 726;374;27%
20190102;mobile;Americas;Brazil;17 625;23 500;31 333;47 814;422;23%
20190102;mobile;Americas;Colombia;13 766;19 951;28 100;26 151;942;43%
20190102;mobile;Americas;Mexico;15 289;22 158;27 698;9 247;977;40%
20190103;desktop;Europe;Sweden;8 893;11 857;14 286;28 318;121;31%
20190103;mobile;Oceania;New Zealand;42 018;46 686;63 954;32 390;543;78%
20190103;tablet;Europe;Germany;2 514;3 029;4 454;33 897;480;64%
20190103;desktop;Oceania;New Zealand;97;116;193;29 276;118;17%
20190103;mobile;Europe;Belgium;15 597;18 568;25 789;45 940;419;60%
20190103;tablet;Europe;France;6 049;6 796;9 572;49 424;864;55%
20190103;desktop;Asia;India;7 090;8 342;9 067;18 562;408;78%
20190103;desktop;Europe;United Kingdom;9 591;18 806;24 423;35 502;660;32%
20190103;mobile;Asia;India;60 468;73 742;85 746;22 321;937;21%
20190103;mobile;Europe;United Kingdom;15 808;26 346;30 283;44 000;313;49%
20190103;desktop;Europe;Germany;16 635;22 180;29 573;10 466;520;47%
20190103;desktop;Europe;France;5 356;7 651;10 481;42 978;273;19%
20190103;desktop;Oceania;Australia;47 610;57 361;70 816;5 909;621;83%
20190103;desktop;Asia;Japan;29 182;50 314;61 359;20 162;114;63%
20190103;desktop;Asia;South Korea;42 624;59 201;92 501;4 976;912;38%
